ID,label
4,1
7,1
9,1
10,0
15,0
18,0
20,0
21,0
23,0
27,0
34,0
40,0
42,0
44,0
45,0
49,1
57,0
60,0
65,0
75,0
88,0
89,0
92,0
99,0
101,1
102,1
104,0
112,-1
113,0
118,0
123,0
127,0
128,0
129,0
131,0
141,0
153,0
155,0
156,0
160,-1
163,1
166,0
168,0
171,1
175,0
186,0
188,-1
197,0
198,0
201,0
205,0
210,0
213,0
245,0
247,1
248,1
251,0
257,0
263,1
264,0
266,0
269,0
272,0
274,0
277,0
282,0
284,0
285,-1
286,-1
293,0
294,0
300,0
306,0
315,-1
320,-1
329,0
332,0
338,-1
341,0
346,0
350,-1
351,0
355,0
357,0
365,0
378,1
381,-1
382,0
383,0
398,0
399,0
405,1
409,0
417,1
420,0
421,1
423,0
425,0
427,0
429,1
432,0
436,-1
438,0
445,0
448,0
450,-1
455,0
459,-1
460,0
465,0
466,1
469,0
472,0
473,-1
476,0
477,0
484,1
489,0
490,0
495,0
501,-1
510,0
521,1
522,0
523,0
525,-1
530,-1
531,0
537,1
539,0
542,0
544,1
552,0
553,0
565,0
575,0
580,1
586,0
588,-1
595,0
598,1
603,1
607,0
613,0
617,0
618,0
619,-1
620,0
625,0
649,0
653,0
654,0
659,-1
660,0
661,-1
663,-1
666,-1
667,0
672,0
675,0
677,0
680,0
681,0
687,0
691,0
694,0
698,0
701,0
702,0
706,0
716,1
735,1
736,1
737,0
738,0
741,0
743,0
752,0
754,0
758,0
762,-1
767,0
771,0
772,-1
773,-1
778,0
779,1
780,0
781,0
784,0
791,0
806,0
812,-1
819,0
825,1
831,0
833,0
837,0
840,0
849,0
850,1
851,0
852,1
857,1
861,0
863,0
864,0
865,0
868,1
870,0
873,0
876,0
881,0
883,0
886,0
887,0
890,0
900,0
902,0
903,-1
905,0
910,0
915,1
919,0
921,0
922,1
923,0
930,0
931,0
938,0
941,-1
944,0
945,1
955,1
961,-1
965,0
970,1
973,0
979,-1
984,0
988,0
996,0
999,0
1002,0
1003,0
1006,-1
1011,0
1013,1
1018,0
1019,0
1020,0
1021,-1
1028,0
1031,0
1033,0
1034,0
1044,0
1058,0
1061,0
1066,1
1069,0
1070,0
1078,0
1082,0
1083,1
1087,0
1090,0
1095,-1
1096,0
1097,0
1100,0
1101,0
1104,1
1105,0
1109,1
1112,0
1117,0
1120,0
1126,-1
1129,0
1133,0
1136,0
1137,0
1138,0
1143,0
1150,0
1151,0
1153,0
1156,1
1157,0
1167,0
1177,0
1181,0
1183,0
1184,0
1191,0
1203,0
1207,-1
1216,0
1220,0
1221,0
1226,0
1230,0
1233,1
1236,1
1247,0
1248,0
1249,0
1250,0
1251,0
1257,0
1258,1
1260,-1
1265,0
1274,0
1275,0
1279,0
1280,0
1284,0
1289,0
1296,1
1297,0
1305,0
1306,0
1307,0
1323,0
1324,1
1343,0
1344,0
1347,0
1349,0
1350,0
1353,0
1355,0
1359,0
1366,0
1367,0
1372,0
1376,0
1378,0
1379,0
1383,0
1384,0
1388,0
1389,0
1392,0
1401,0
1407,0
1410,1
1412,-1
1416,-1
1417,0
1424,0
1425,0
1427,0
1428,0
1431,0
1435,0
1437,-1
1447,1
1448,0
1450,0
1452,0
1454,1
1455,0
1457,0
1460,0
1464,-1
1470,0
1478,0
1481,0
1482,0
1485,0
1489,0
1493,0
1494,0
1496,0
1499,-1
1504,0
1505,0
1515,0
1517,0
1520,1
1524,0
1527,1
1531,0
1534,0
1536,0
1537,1
1539,0
1540,1
1541,-1
1543,0
1546,-1
1548,-1
1550,0
1555,0
1556,0
1557,0
1560,0
1565,0
1572,0
1574,0
1577,0
1580,0
1582,0
1583,-1
1586,0
1589,0
1591,0
1592,-1
1594,1
1597,1
1600,0
1602,0
1603,0
1606,0
1607,0
1610,0
1612,-1
1614,1
1615,0
1616,0
1618,0
1619,1
1621,0
1622,0
1623,0
1626,0
1640,0
1642,0
1643,0
1644,-1
1651,0
1652,1
1654,0
1666,0
1671,0
1677,0
1687,0
1688,-1
1689,1
1696,0
1698,0
1701,0
1708,0
1712,0
1716,0
1732,0
1733,0
1739,0
1751,0
1759,0
1760,1
1762,0
1763,0
1771,0
1789,0
1791,0
1793,1
1795,0
1796,0
1801,0
1809,1
1815,0
1817,0
1827,0
1832,0
1833,0
1834,0
1842,0
1844,0
1845,1
1846,0
1863,0
1865,0
1866,0
1868,1
1875,0
1884,0
1885,-1
1889,0
1891,0
1903,0
1905,-1
1907,0
1913,0
1916,1
1918,0
1919,-1
1921,0
1926,0
1927,0
1932,0
1941,0
1944,-1
1948,0
1951,0
1952,0
1957,0
1959,-1
1964,0
1965,1
1973,0
1984,0
1987,-1
1988,0
1992,0
1994,-1
2007,1
2017,1
2021,1
2027,0
2029,0
2037,0
2039,-1
2045,0
2053,0
2055,1
2061,0
2066,-1
2070,0
2072,1
2073,0
2074,0
2076,0
2078,0
2080,-1
2081,0
2082,0
2085,0
2088,0
2089,0
2091,0
2092,0
2100,-1
2102,0
2105,0
2114,0
2116,0
2119,0
2130,0
2133,0
2136,1
2141,0
2147,0
2149,0
2153,0
2155,0
2157,0
2158,0
2160,0
2165,1
2170,0
2171,0
2184,-1
2198,0
2206,0
2216,0
2217,0
2219,0
2223,0
2230,0
2235,0
2240,0
2243,0
2244,0
2249,0
2260,0
2264,0
2268,1
2269,-1
2271,1
2272,0
2273,0
2274,0
2286,0
2287,0
2290,0
2292,0
2293,0
2294,0
2296,-1
2298,0
2303,0
2306,0
2308,1
2311,0
2312,0
2320,0
2325,0
2335,0
2336,0
2337,0
2339,1
2343,-1
2344,0
2350,-1
2352,0
2365,0
2372,-1
2373,1
2375,0
2377,0
2379,-1
2380,0
2381,0
2382,0
2384,1
2391,0
2394,0
2402,0
2412,0
2415,0
2418,0
2419,0
2422,0
2426,0
2427,0
2429,-1
2430,0
2432,0
2434,0
2435,0
2437,0
2453,0
2454,0
2458,0
2460,0
2464,0
2468,0
2471,0
2477,0
2484,0
2493,0
2497,0
2506,0
2507,1
2509,0
2519,1
2522,0
2524,0
2526,0
2530,0
2532,-1
2533,0
2535,-1
2546,0
2547,0
2549,1
2560,0
2561,0
2564,1
2565,0
2574,0
2575,1
2576,0
2577,0
2590,0
2594,0
2597,0
2598,0
2601,0
2605,0
2609,0
2613,0
2619,0
2621,0
2627,0
2631,1
2638,0
2640,0
2642,-1
2646,0
2647,-1
2648,0
2651,-1
2652,1
2664,0
2666,0
2677,0
2684,0
2697,0
2699,0
2703,0
2704,0
2710,0
2712,0
2713,1
2721,1
2726,0
2728,0
2729,0
2733,1
2737,0
2745,0
2750,1
2759,0
2763,0
2774,0
2775,1
2776,0
2778,0
2779,0
2787,0
2790,0
2794,0
2795,0
2797,0
2803,0
2806,1
2808,0
2815,0
2818,-1
2820,0
2823,0
2829,-1
2849,0
2860,0
2866,0
2870,0
2871,0
2874,0
2876,0
2882,0
2884,0
2885,0
2892,0
2899,0
2907,0
2909,0
2911,0
2918,0
2922,0
2923,0
2929,0
2930,0
2935,1
2945,0
2947,0
2949,0
2951,0
2954,1
2956,0
2964,0
2973,0
2977,0
2987,0
2995,0
2998,0
3004,0
3005,0
3007,0
3015,0
3019,0
